Lead ID,organization_name,Industry,Contact Name,Email,Country,Service Needed,Status,Proposal Generated ,Proposal Link,Date Generated,Email Sent ,Date Sent,AI Follow-up Link,Follow-up Sent,Follow-up Date,Gmail Thread
L0038,Nestle Nigeria,Manufacturing,Chioma Okafor,oluwabusola.egbetunde@opexconsult.co.uk,Nigeria,Regulatory Audit,Qualified,Yes,https://docs.google.com/open?id=1-ND9OvWOqzo5pQUkkEe3YYzDuV7BzErFfq0Dwt7qy7Q,7/18/2026,Yes,7/18/2026,https://docs.google.com/open?id=1nmZ8F4ilAZr22iQIKSrLGwmJy0LRKNux6aoAqMp2YZs,,,
L0039,Nigerian Breweries,Manufacturing,Ibrahim Okafor,ibrahim.okafor@nb.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0040,AXA Mansard,Insurance,Aisha Ogunleye,aisha.ogunleye@axa.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0041,UBA PLC,Banking,Samuel John,samuel.john@opexconsult.co.uk,Nigeria,AML Compliance,Qualified,Yes,https://docs.google.com/open?id=1iCdJqPzHLQDxXOb-6HAaCBQ2Tc7z7AOgaPAj0IR-g4k,7/1/2026,Yes,7/1/2026,,,,
L0042,GTCO PLC,Banking,Mary Ogunleye,mary.ogunleye@gtco.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0043,Zenith Bank PLC,Banking,David Bello,david.bello@zenith.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0044,Access Holdings,Banking,Samuel Ehis,samuel.amienghemen@opexconsult.co.uk,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1Oq39QgfkI6wIad5UqIxOZN39Yr67bZxYBSDcHZzFPmA,7/1/2026,Yes,7/1/2026,,,,
L0045,First HoldCo,Banking,Daniel Bello,daniel.bello@firstholdco.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0046,MTN Nigeria,Telecom,Esther Eze,esther.eze@mtn.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0047,Airtel Nigeria,Telecom,Michael Eze,samuel.john@opexconsult.co.uk,Nigeria,KYC Review,Qualified,Yes,https://docs.google.com/open?id=10QaejvPqnhbuyRTq56O5H_aBP0Azx7Y3O4n4KiolrWc,7/1/2026,Yes,7/1/2026,,,,
L0048,Globacom,Telecom,Chioma Eze,chioma.eze@glo.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0049,9mobile,Telecom,Ibrahim Ahmed,ibrahim.ahmed@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0050,Flutterwave,Fintech,Aisha Ahmed,aisha.ahmed@flutterwave.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0051,Paystack,Fintech,Samuel Ahmed,samuel.ahmed@paystack.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0052,Interswitch,Fintech,Mary Nwosu,mary.nwosu@interswitch.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0053,Moniepoint,Fintech,Samuel Ehis,david.nwosu@moniepoint.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0054,Seplat Energy,Energy,Samuel Ehis,samuel.amienghemen@opexconsult.co.uk,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1LZnYdzehP81rydlykZ8fnciwlD5h_RhE_lvTjNQm3vw,7/18/2026,Yes,7/15/2026,https://docs.google.com/open?id=1rsYXIG8wbqPYXlD2q2Hwn1ug-73XiKv2XCS8YYpAQ4c,Yes,7/18/2026,
L0055,Oando PLC,Energy,Daniel Balogun,daniel.balogun@oando.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0056,Dangote Cement,Manufacturing,Esther Balogun,esther.balogun@dangote.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0057,BUA Cement,Manufacturing,Daniel Egbetunde,larrykens@gmail.com,Nigeria,KYC Review,Qualified,Yes,https://docs.google.com/open?id=1w0odZec2Mvc21powiBAuJgvgf1sHeP4KmvMgOk0glu4,7/18/2026,Yes,7/15/2026,https://docs.google.com/open?id=1l1wkzBvz0qzVmwUo00_2G0ylnBWAD8fVk57RsoVAcdA,Yes,7/18/2026,
L0058,Nestle Nigeria,Manufacturing,Chioma Ojo,chioma.ojo@nestle.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0059,Nigerian Breweries,Manufacturing,Ibrahim Ojo,ibrahim.ojo@nb.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0060,AXA Mansard,Insurance,Aisha Ojo,aisha.ojo@axa.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0061,UBA PLC,Banking,Samuel Johnson,samuel.johnson@uba.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0062,GTCO PLC,Banking,Mary Johnson,mary.johnson@gtco.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0063,Zenith Bank PLC,Banking,David Johnson,david.johnson@zenith.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0064,Access Holdings,Banking,Grace Adewale,grace.adewale@access.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0065,First HoldCo,Banking,Daniel Adewale,daniel.adewale@firstholdco.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0066,MTN Nigeria,Telecom,Esther Adewale,esther.adewale@mtn.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0067,Airtel Nigeria,Telecom,Michael Okafor,michael.okafor@airtel.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0068,Globacom,Telecom,Chioma Okafor,chioma.okafor@glo.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0069,9mobile,Telecom,Ibrahim Okafor,ibrahim.okafor@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0070,Flutterwave,Fintech,Aisha Ogunleye,aisha.ogunleye@flutterwave.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0071,Paystack,Fintech,Samuel Ogunleye,samuel.ogunleye@paystack.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0072,Interswitch,Fintech,Mary Ogunleye,mary.ogunleye@interswitch.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0073,Moniepoint,Fintech,David Bello,david.bello@moniepoint.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0074,Seplat Energy,Energy,Grace Bello,grace.bello@seplat.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0075,Oando PLC,Energy,Daniel Bello,daniel.bello@oando.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0076,Dangote Cement,Manufacturing,Esther Eze,esther.eze@dangote.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0077,BUA Cement,Manufacturing,Michael Eze,michael.eze@bua.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0078,Nestle Nigeria,Manufacturing,Chioma Eze,chioma.eze@nestle.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0079,Nigerian Breweries,Manufacturing,Ibrahim Ahmed,ibrahim.ahmed@nb.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0080,AXA Mansard,Insurance,Aisha Ahmed,aisha.ahmed@axa.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0081,UBA PLC,Banking,Samuel Ahmed,samuel.ahmed@uba.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0082,GTCO PLC,Banking,Mary Nwosu,mary.nwosu@gtco.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0083,Zenith Bank PLC,Banking,David Nwosu,david.nwosu@zenith.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0084,Access Holdings,Banking,Grace Nwosu,grace.nwosu@access.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0085,First HoldCo,Banking,Daniel Balogun,daniel.balogun@firstholdco.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0086,MTN Nigeria,Telecom,Esther Balogun,esther.balogun@mtn.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0087,Airtel Nigeria,Telecom,Michael Balogun,michael.balogun@airtel.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0088,Globacom,Telecom,Chioma Ojo,chioma.ojo@glo.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0089,9mobile,Telecom,Ibrahim Ojo,ibrahim.ojo@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1u9QXuvoHfd0MKG0Nl7Cq-j_jzb_s1rUQvg7_Ww8e3Hs,7/19/2026,Yes,7/19/2026,https://docs.google.com/open?id=1jek4BcpXIodqLjlfyTc78m8QpuwPMEB_uP9SAfwI34c,,,19f7c9927696af3e
L0090,Flutterwave,Fintech,Aisha Ojo,aisha.ojo@flutterwave.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0091,Paystack,Fintech,Samuel Johnson,samuel.johnson@paystack.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0092,Interswitch,Fintech,Mary Johnson,mary.johnson@interswitch.plc.com,Nigeria,KYC Review,Qualified,Yes,https://docs.google.com/open?id=1xKx-qZpHntPvn8Uiu34I52qIoopQfV23lKgQ9VZOUAY,7/19/2026,Yes,7/19/2026,https://docs.google.com/open?id=1TvPTelEoUZ38AVVNe_lLoZUh5Vz_ByzUM_StekDEAz4,,,19f7c9bc19b0fd4f
L0093,Moniepoint,Fintech,David Johnson,david.johnson@moniepoint.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0094,Seplat Energy,Energy,Grace Adewale,grace.adewale@seplat.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0095,Oando PLC,Energy,Daniel Adewale,daniel.adewale@oando.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0096,Dangote Cement,Manufacturing,Esther Adewale,esther.adewale@dangote.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0097,BUA Cement,Manufacturing,Michael Okafor,michael.okafor@bua.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0098,Nestle Nigeria,Manufacturing,Chioma Okafor,chioma.okafor@nestle.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0099,Nigerian Breweries,Manufacturing,Ibrahim Okafor,ibrahim.okafor@nb.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0100,AXA Mansard,Insurance,Aisha Ogunleye,aisha.ogunleye@axa.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0101,UBA PLC,Banking,Samuel Ogunleye,samuel.ogunleye@uba.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0102,GTCO PLC,Banking,Mary Ogunleye,mary.ogunleye@gtco.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0103,Zenith Bank PLC,Banking,David Bello,david.bello@zenith.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0104,Access Holdings,Banking,Grace Bello,grace.bello@access.plc.com,Nigeria,Compliance Gap Assessment,Qualified,Yes,https://docs.google.com/open?id=1q6TbCHTGIIhp_A71-ZEhTbBJcRkzJAtbtrLYE8-ests,7/19/2026,Yes,7/19/2026,https://docs.google.com/open?id=1sDaSlAPNKI_JkTfQM_2CpTLC3CRjmfK8rNq9KeaQpJ8,,,19f7c820f79cb77d
L0105,First HoldCo,Banking,Daniel Bello,daniel.bello@firstholdco.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0106,MTN Nigeria,Telecom,Esther Eze,esther.eze@mtn.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0107,Airtel Nigeria,Telecom,Michael Eze,michael.eze@airtel.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0108,Globacom,Telecom,Chioma Eze,chioma.eze@glo.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0109,9mobile,Telecom,Ibrahim Ahmed,ibrahim.ahmed@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0110,Flutterwave,Fintech,Aisha Ahmed,aisha.ahmed@flutterwave.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0111,Paystack,Fintech,Samuel Ahmed,samuel.ahmed@paystack.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0112,Interswitch,Fintech,Mary Nwosu,mary.nwosu@interswitch.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0113,Moniepoint,Fintech,David Nwosu,david.nwosu@moniepoint.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0114,Seplat Energy,Energy,Grace Nwosu,grace.nwosu@seplat.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0115,Oando PLC,Energy,Daniel Balogun,daniel.balogun@oando.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0116,Dangote Cement,Manufacturing,Esther Balogun,esther.balogun@dangote.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0117,BUA Cement,Manufacturing,Michael Balogun,michael.balogun@bua.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0118,Nestle Nigeria,Manufacturing,Chioma Ojo,chioma.ojo@nestle.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0119,Nigerian Breweries,Manufacturing,Ibrahim Ojo,ibrahim.ojo@nb.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0120,AXA Mansard,Insurance,Aisha Ojo,aisha.ojo@axa.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0121,UBA PLC,Banking,Samuel Johnson,samuel.johnson@uba.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0122,GTCO PLC,Banking,Mary Johnson,mary.johnson@gtco.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0123,Zenith Bank PLC,Banking,David Johnson,david.johnson@zenith.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0124,Access Holdings,Banking,Grace Adewale,grace.adewale@access.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0125,First HoldCo,Banking,Daniel Adewale,daniel.adewale@firstholdco.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0126,MTN Nigeria,Telecom,Esther Adewale,esther.adewale@mtn.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0127,Airtel Nigeria,Telecom,Michael Okafor,michael.okafor@airtel.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0128,Globacom,Telecom,Chioma Okafor,chioma.okafor@glo.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0129,9mobile,Telecom,Ibrahim Okafor,ibrahim.okafor@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0130,Flutterwave,Fintech,Aisha Ogunleye,aisha.ogunleye@flutterwave.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0131,Paystack,Fintech,Samuel Ogunleye,samuel.ogunleye@paystack.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0132,Interswitch,Fintech,Mary Ogunleye,mary.ogunleye@interswitch.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0133,Moniepoint,Fintech,David Bello,david.bello@moniepoint.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0134,Seplat Energy,Energy,Grace Bello,grace.bello@seplat.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0135,Oando PLC,Energy,Daniel Bello,daniel.bello@oando.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0136,Dangote Cement,Manufacturing,Esther Eze,esther.eze@dangote.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0137,BUA Cement,Manufacturing,Michael Eze,michael.eze@bua.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0138,Nestle Nigeria,Manufacturing,Chioma Eze,chioma.eze@nestle.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0139,Nigerian Breweries,Manufacturing,Ibrahim Ahmed,ibrahim.ahmed@nb.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0140,AXA Mansard,Insurance,Aisha Ahmed,aisha.ahmed@axa.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0141,UBA PLC,Banking,Samuel Ahmed,samuel.ahmed@uba.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0142,GTCO PLC,Banking,Mary Nwosu,mary.nwosu@gtco.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0143,Zenith Bank PLC,Banking,David Nwosu,david.nwosu@zenith.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0144,Access Holdings,Banking,Grace Nwosu,grace.nwosu@access.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0145,First HoldCo,Banking,Daniel Balogun,daniel.balogun@firstholdco.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0146,MTN Nigeria,Telecom,Esther Balogun,esther.balogun@mtn.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0147,Airtel Nigeria,Telecom,Michael Balogun,michael.balogun@airtel.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0148,Globacom,Telecom,Chioma Ojo,chioma.ojo@glo.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0149,9mobile,Telecom,Ibrahim Ojo,ibrahim.ojo@9mobile.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0150,Flutterwave,Fintech,Aisha Ojo,aisha.ojo@flutterwave.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0151,Paystack,Fintech,Samuel Johnson,samuel.johnson@paystack.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0152,Interswitch,Fintech,Mary Johnson,mary.johnson@interswitch.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0153,Moniepoint,Fintech,David Johnson,david.johnson@moniepoint.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0154,Seplat Energy,Energy,Grace Adewale,grace.adewale@seplat.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0155,Oando PLC,Energy,Daniel Adewale,daniel.adewale@oando.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
L0156,Dangote Cement,Manufacturing,Esther Adewale,esther.adewale@dangote.plc.com,Nigeria,AML Compliance,Contacted,,,,,,,,,
L0157,BUA Cement,Manufacturing,Michael Okafor,michael.okafor@bua.plc.com,Nigeria,KYC Review,Qualified,,,,,,,,,
L0158,Nestle Nigeria,Manufacturing,Chioma Okafor,chioma.okafor@nestle.plc.com,Nigeria,Regulatory Audit,New,,,,,,,,,
L0159,Nigerian Breweries,Manufacturing,Ibrahim Okafor,ibrahim.okafor@nb.plc.com,Nigeria,Compliance Gap Assessment,Contacted,,,,,,,,,
L0160,AXA Mansard,Insurance,Aisha Ogunleye,aisha.ogunleye@axa.plc.com,Nigeria,Risk Assessment,Qualified,,,,,,,,,
L0161,UBA PLC,Banking,Samuel Ogunleye,samuel.ogunleye@uba.plc.com,Nigeria,AML Compliance,New,,,,,,,,,
L0162,GTCO PLC,Banking,Mary Ogunleye,mary.ogunleye@gtco.plc.com,Nigeria,KYC Review,Contacted,,,,,,,,,
L0163,Zenith Bank PLC,Banking,David Bello,david.bello@zenith.plc.com,Nigeria,Regulatory Audit,Qualified,,,,,,,,,
L0164,Access Holdings,Banking,Grace Bello,grace.bello@access.plc.com,Nigeria,Compliance Gap Assessment,New,,,,,,,,,
L0165,First HoldCo,Banking,Daniel Bello,daniel.bello@firstholdco.plc.com,Nigeria,Risk Assessment,Contacted,,,,,,,,,
L0166,MTN Nigeria,Telecom,Esther Eze,esther.eze@mtn.plc.com,Nigeria,AML Compliance,Qualified,,,,,,,,,
L0167,Airtel Nigeria,Telecom,Michael Eze,michael.eze@airtel.plc.com,Nigeria,KYC Review,New,,,,,,,,,
L0168,Globacom,Telecom,Chioma Eze,chioma.eze@glo.plc.com,Nigeria,Regulatory Audit,Contacted,,,,,,,,,
L0169,9mobile,Telecom,Ibrahim Ahmed,ibrahim.ahmed@9mobile.plc.com,Nigeria,Compliance Gap Assessment,Qualified,,,,,,,,,
L0170,Flutterwave,Fintech,Aisha Ahmed,aisha.ahmed@flutterwave.plc.com,Nigeria,Risk Assessment,New,,,,,,,,,
